datetime,temp,dew,humidity,precip,precipcover,preciptype,uvindex
2019-03-27 0:00:00.0000,36,10.5,35,0,0,,8
2019-03-28 0:00:00.0000,42.6,28.1,57.4,0,0,,8
2019-03-29 0:00:00.0000,50.5,40.2,68.3,0.047,20.83,rain,2
2019-03-30 0:00:00.0000,52.3,44.1,74.9,0,0,,7
2019-03-31 0:00:00.0000,55.8,47.5,74.1,0.097,20.83,rain,7
2019-04-01 0:00:00.0000,41.6,15,37.4,0,0,,9
2019-04-02 0:00:00.0000,42.3,18.1,39.7,0,0,,8
2019-04-03 0:00:00.0000,48.4,31.3,58.6,0.444,33.33,rain,8
2019-04-04 0:00:00.0000,45.4,7.5,22.1,0,0,,9
2019-04-05 0:00:00.0000,39.5,14,37,0.063,8.33,rain,6
2019-04-06 0:00:00.0000,50.1,38.1,66.9,0.161,25,rain,8
2019-04-07 0:00:00.0000,54.9,38.5,55.5,0,0,,7
2019-04-08 0:00:00.0000,44.6,39.5,82.9,0.316,41.67,rain,1
2019-04-09 0:00:00.0000,38.5,35.2,87.6,0.062,8.33,rain,2
2019-04-10 0:00:00.0000,41.5,28.1,61.1,0.011,4.17,rain,7
2019-04-11 0:00:00.0000,43,21.9,44,0,0,,8
2019-04-12 0:00:00.0000,48.4,36.3,63.7,0,0,,2
2019-04-13 0:00:00.0000,63.7,55.6,76.2,0.391,45.83,rain,8
2019-04-14 0:00:00.0000,57.4,46.6,69.7,0.033,12.5,rain,7
2019-04-15 0:00:00.0000,55.9,47.9,76.2,0.737,37.5,rain,7
2019-04-16 0:00:00.0000,50.8,23.7,35.9,0,0,,9
2019-04-17 0:00:00.0000,51.1,27.2,40.4,0,0,,9
2019-04-18 0:00:00.0000,48.9,37.6,65.8,0,0,,2
2019-04-19 0:00:00.0000,69,57.9,68.7,0,0,,5
2019-04-20 0:00:00.0000,67.1,62.3,84.6,0.2,45.83,rain,2
2019-04-21 0:00:00.0000,60.7,55.3,82.9,0.034,16.67,rain,8
2019-04-22 0:00:00.0000,53.7,50.2,87.9,2.08,41.67,rain,4
2019-04-23 0:00:00.0000,49.7,45.4,85.1,0.313,29.17,rain,2
2019-04-24 0:00:00.0000,55.1,44.5,71.3,0.122,16.67,rain,9
2019-04-25 0:00:00.0000,51.3,39,63.1,0,0,,9
2019-04-26 0:00:00.0000,47.8,43.6,85.3,0.607,41.67,rain,1
2019-04-27 0:00:00.0000,50.3,36.4,62.3,0.802,33.33,rain,6
2019-04-28 0:00:00.0000,49.3,34.2,56.5,0.012,8.33,rain,5
2019-04-29 0:00:00.0000,52.6,27.2,41.1,0,0,,9
2019-04-30 0:00:00.0000,48.7,39.4,71.4,0.146,25,rain,2
2019-05-01 0:00:00.0000,50.9,35.2,55.2,0,0,,4
2019-05-02 0:00:00.0000,47,43.4,87.1,0.066,20.83,rain,1
2019-05-03 0:00:00.0000,49.9,45.2,84,0.115,20.83,rain,5
2019-05-04 0:00:00.0000,51,47.3,87.1,0.14,16.67,rain,2
2019-05-05 0:00:00.0000,49.8,45.4,84.8,0.011,4.17,rain,2
2019-05-06 0:00:00.0000,52.5,43.9,73.2,0,0,,9
2019-05-07 0:00:00.0000,60.2,45.4,60.3,0.083,16.67,rain,9
2019-05-08 0:00:00.0000,56.9,44.8,64.8,0,0,,9
2019-05-09 0:00:00.0000,52.2,34.4,50.9,0,0,,9
2019-05-10 0:00:00.0000,56.9,45.5,66.4,0.011,4.17,rain,3
2019-05-11 0:00:00.0000,63.6,41,47,0.003,4.17,rain,9
2019-05-12 0:00:00.0000,47.9,35.8,64.7,0.395,58.33,rain,1
2019-05-13 0:00:00.0000,48.9,39.9,71.4,0.664,25,rain,5
2019-05-14 0:00:00.0000,45.3,40.4,83,0.308,37.5,rain,2
2019-05-15 0:00:00.0000,52.9,38.2,59.8,0,0,,4
2019-05-16 0:00:00.0000,57,45.8,66.7,0.011,4.17,rain,6
2019-05-17 0:00:00.0000,56.3,52.2,86.4,0.241,33.33,rain,1
2019-05-18 0:00:00.0000,61.1,43.4,53.5,0,0,,10
2019-05-19 0:00:00.0000,61.8,50.8,67.8,0.218,12.5,rain,5
2019-05-20 0:00:00.0000,74,63.6,71.7,0.135,20.83,rain,8
2019-05-21 0:00:00.0000,65.3,38.7,38.7,0,0,,10
2019-05-22 0:00:00.0000,60,37,42.9,0,0,,9
2019-05-23 0:00:00.0000,61.3,47.7,61.7,0.001,4.17,rain,6
2019-05-24 0:00:00.0000,64.3,50.4,62,0.122,8.33,rain,7
2019-05-25 0:00:00.0000,62.8,44.5,52.2,0,0,,8
